semestre,matriculados,registros,presentes,publicados,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,comuna,prestacion_servicio,ponderado_global,ponderado_lectura,ponderado_matematicas,ponderado_sociales,ponderado_naturales,ponderado_ingles,punt_global_med,punt_lectura_med,punt_matematicas_med,punt_sociales_med,punt_naturales_med,punt_ingles_med,punt_global_sector,punt_lectura_sector,punt_matematicas_sector,punt_sociales_sector,punt_naturales_sector,punt_ingles_sector,punt_global_comu,punt_lectura_comu,punt_matematicas_comu,punt_sociales_comu,punt_naturales_comu,punt_ingles_comu
20142,23.0,22,22,22,250.0,51.0,51.0,49.0,49.0,51.0,aranjuez,privado,5500.0,1122.0,1122.0,1078.0,1078.0,1122.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,300.8084525,60.42914214,60.29983179,58.74264087,59.56791421,65.10239697,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,26.0,23,23,23,245.0,47.0,51.0,50.0,48.0,50.0,aranjuez,oficial,5635.0,1081.0,1173.0,1150.0,1104.0,1150.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,73.0,73,73,72,257.0,52.0,53.0,51.0,51.0,48.0,aranjuez,oficial,18504.0,3744.0,3816.0,3672.0,3672.0,3456.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,62.0,61,60,59,247.0,53.0,48.0,49.0,48.0,47.0,aranjuez,oficial,14573.0,3127.0,2832.0,2891.0,2832.0,2773.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,66.0,60,60,60,260.0,53.0,50.0,52.0,53.0,51.0,aranjuez,oficial,15600.0,3180.0,3000.0,3120.0,3180.0,3060.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,38.0,36,36,35,257.0,53.0,53.0,51.0,50.0,47.0,aranjuez,oficial,8995.0,1855.0,1855.0,1785.0,1750.0,1645.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,48.0,48,48,46,269.0,56.0,52.0,54.0,54.0,52.0,aranjuez,contratacion,12374.0,2576.0,2392.0,2484.0,2484.0,2392.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,13.0,13,13,13,266.0,56.0,50.0,53.0,54.0,53.0,aranjuez,privado,3458.0,728.0,650.0,689.0,702.0,689.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,300.8084525,60.42914214,60.29983179,58.74264087,59.56791421,65.10239697,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,31.5,41,40,39,242.0,50.0,48.0,49.0,46.0,49.0,aranjuez,oficial,9438.0,1950.0,1872.0,1911.0,1794.0,1911.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
20142,142.0,223,219,216,257.0,53.0,51.0,51.0,51.0,50.0,aranjuez,oficial,55512.0,11448.0,11016.0,11016.0,11016.0,10800.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
